Year;city;Total
2025;Ingolstadt;102392
2025;München;976230
2025;Rosenheim;36906
2025;Altötting;50686
2025;Berchtesgadener Land;37598
2025;Bad Tölz-Wolfratshausen;39056
2025;Dachau;46410
2025;Ebersberg;45511
2025;Eichstätt;42860
2025;Erding;48774
2025;Freising;88249
2025;Fürstenfeldbruck;60544
2025;Garmisch-Partenkirchen;31185
2025;Landsberg am Lech;42317
2025;Miesbach;38360
2025;Mühldorf a.Inn;45377
2025;Neuburg-Schrobenhausen;33208
2025;Pfaffenhofen a.d.Ilm;46904
2025;Starnberg;56526
2025;Traunstein;74933
2025;Weilheim-Schongau;53289
2025;Niederbayern;506332
2025;Landshut;39175
2025;Passau;41602
2025;Straubing;30760
2025;Deggendorf;52460
2025;Freyung-Grafenau;27333
2025;Kelheim;42933
2025;Regen;29939
2025;Rottal-Inn;42405
2025;Straubing-Bogen;29205
2025;Dingolfing-Landau;53478
2025;Oberpfalz;503547
2025;Amberg;28503
2025;Regensburg;134109
2025;Weiden;27835
2025;Amberg-Sulzbach;29445
2025;Cham;55029
2025;Neumarkt i.d.OPf.;54492
2025;Neustadt a.d.Waldnaab;32967
2025;Schwandorf;59527
2025;Tirschenreuth;27127
2025;Oberfranken;442527
2025;Bamberg;57747
2025;Bayreuth;51627
2025;Coburg;33543
2025;Hof;23997
2025;Forchheim;35699
2025;Kronach;24467
2025;Kulmbach;29173
2025;Lichtenfels;26608
2025;Wunsiedel i.Fichtelgebirge;30187
2025;Mittelfranken;824896
2025;Ansbach;30199
2025;Erlangen;96696
2025;Fürth;51119
2025;Nürnberg;320595
2025;Schwabach;16832
2025;Erlangen-Höchstadt;53898
2025;Nürnberger Land;56950
2025;Neustadt a.d.Aisch-Bad Windsheim;34407
2025;Roth;43267
2025;Weißenburg-Gunzenhausen;33300
2025;Unterfranken;545809
2025;Aschaffenburg;46925
2025;Schweinfurt;54018
2025;Würzburg;97950
2025;Bad Kissingen;36173
2025;Rhön-Grabfeld;32516
2025;Haßberge;27246
2025;Kitzingen;35695
2025;Miltenberg;43442
2025;Main-Spessart;48389
2025;Schwaben;791004
2025;Augsburg;152547
2025;Kaufbeuren;19202
2025;Kempten;39519
2025;Memmingen;30791
2025;Aichach-Friedberg;39586
2025;Dillingen a.d.Donau;34356
2025;Günzburg;56868
2025;Neu-Ulm;64927
2025;Lindau (Bodensee);33147
2025;Ostallgäu;53232
2025;Unterallgäu;58938
2025;Donau-Ries;65677
2025;Oberallgäu;58554
2025;Saarbrücken;115129
2025;Merzig-Wadern;30456
2025;Neunkirchen;40116
2025;Saarlouis;68017
2025;Saarpfalz;65139
2025;St. Wendel;28298
2025;Berlin;1682946
2025;Brandenburg an der Havel;30547
2025;Cottbus;48737
2025;Frankfurt (Oder);28625
2025;Potsdam;89474
2025;Barnim;54859
2025;Dahme-Spreewald;67415
2025;Elbe-Elster;32334
2025;Havelland;43637
2025;Märkisch-Oderland;53305
2025;Oberhavel;60154
2025;Oberspreewald-Lausitz;38116
2025;Oder-Spree;67871
2025;Ostprignitz-Ruppin;35105
2025;Potsdam-Mittelmark;65449
2025;Prignitz;26663
2025;Spree-Neiße;33940
2025;Teltow-Fläming;68829
2025;Uckermark;38770
2025;Kreisfreie Stadt Greifswald;-
2025;Kreisfreie Stadt Neubrandenburg;-
2025;Kreisfreie Stadt Rostock;96862
2025;Kreisfreie Stadt Schwerin;51776
2025;Kreisfreie Stadt Stralsund;-
2025;Kreisfreie Stadt Wismar;-
